AdminAccounts	AdminLevel	AdminSkill	AdminComment	AdminComment2	AdminIpBlocks	AdminIpComment	AdminSuid	OldAdminSuid
s	i{0}	s	c	c	s	c	i{0}	i{0}
grimscar	50	admin				main admin account	1
